orgnr;navn;ansatte;hjemmeside;beskrivelse;auto_kategori;auto_ord;auto_typer;manual_informativ (ja/nei);manual_forretningstype
926998625;ADVICE CONSULTING GROUP AS;6;;Regnskapstjenester, konsulenttjenester innen økonomi, administrasjon ledelse og teknologi.;specific;administrasjon ledelse teknologi;bookkeeping core, advisory;;
921859678;ADVIS AS;9;www.dynamik.no;Regnskaps- og rådgivningstjenester.;generic;regnskaps- rådgivningstjenester;bookkeeping core, advisory;;
990089639;AGDER REGNSKAP AS;15;www.agderregnskap.no;Regnskapskontor.;boilerplate;;bookkeeping core;;
997310578;AGDER REGNSKAPSTJENESTER AS;5;;Regnskap og bokføring.;boilerplate;;bookkeeping core;;
996756238;AGENDA REGNSKAP AS;6;www.agenda-regnskap.no;Regnskap og bokføring.;boilerplate;;bookkeeping core;;
918698450;AGENDA ØKONOMI AS;10;;Utførelse av regnskapstjenester for andre foretak.;generic;foretak utførelse;bookkeeping core;;
998297702;AGIL KOMPETANSE AS;8;www.agilkompetanse.no;Regnskap og rådgivning. Agenturhandel med programvare.;generic;agenturhandel programvare;bookkeeping core, advisory, IT/data services;;
823820232;AICONO AS;12;aicono.no;Føre regnskap og tilby rådgivning.;generic;føre tilby;bookkeeping core, advisory;;
922633452;AIDER AS;1343;;Regnskapstjenester;boilerplate;;bookkeeping core;;
935881943;AIDER GJØVIK AS;6;;Regnskapsføring.;boilerplate;;bookkeeping core;;
929587758;AILE TEAM AS;5;;Regnskap, bokføring, rådgivning og kurs.;generic;kurs;bookkeeping core, advisory;;
934466799;AJ SHARED SERVICES AS;5;;Regnskapsføring. Bedriftsrådgivning, administrativt.;generic;administrativt bedriftsrådgivning;bookkeeping core, advisory;;
840880192;AJOUR REGNSKAP AS;6;;Utvikle og selge programmer til datamaskiner, drive konsulentvirksomhet innen elektronisk data- behandling, drive regnskapsbyrå, samt hva som hermed står i forbindelse, herunder å delta i andre selskaper med lignende virksomhet.;specific;behandling data- datamaskiner elektronisk progra;bookkeeping core, advisory, IT/data services;;
987209704;AJOUR REGNSKAP MANDAL AS;7;ajour-as.no;Regnskapstjenester.;boilerplate;;bookkeeping core;;
921744609;AK REGNSKAP NYSTAD AS;5;;Regnskapsføring og konsulenttjenester og andre produkter/tjenester som naturlig hører sammen med dette.;boilerplate;;bookkeeping core, advisory;;
988731072;AK-REGNSKAP AS;6;www.ak-regnskap.no;Autorisert regnskapsførerfirma.;generic;autorisert regnskapsførerfirma;bookkeeping core;;
918860649;AKETO AS;5;;Selskapet skal tilby regnskap- og rådgivningstjenester, samt virksomhet som står i forbindelse med dette.;specific;regnskap- rådgivningstjenester tilby;bookkeeping core, advisory;;
929049306;AKKURAT-REGNSKAP AS;5;;Regnskapsføring.;boilerplate;;bookkeeping core;;
935483298;AKROS REGNSKAP OG FORVALTNING AS;6;;Regnskapsføring. Bedriftsrådgivning, administrativt. Eiendomsforvaltning på vegne av andre. Utleie av fast eiendom.;specific;administrativt bedriftsrådgivning eiendomsforvaltning fast vegne;bookkeeping core, advisory, unrelated trade;;
999011780;AKTIV REGNSKAPSBYRÅ TROMSØ AS;11;www.aktivregnskapsbyra.no;Regnskapsføring med rådgivning.;boilerplate;;bookkeeping core, advisory;;
982597560;AKTIV ØKONOMI CONSULT AS;9;;Regnskapsbyrå og økonomisk rådgivning.;boilerplate;;bookkeeping core, advisory;;
948120984;AKTIV ØKONOMISERVICE AS;14;okservice.no;Drive virksomhet som økonomisk rådgivningskontor og edb-virkosmhet, herunder utvikling av program- vare og salg av maskinutstyr og enhver virksomhet som står i forbindelse med dette, herunder å delta i andre selskap med lignende virksomhet.;specific;delta edb-virkosmhet enhver maskinutstyr program- rådgivningskontor vare;advisory, IT/data services;;
998577179;AKTIVA AS;7;www.aktivafinnsnes.no;Regnskaps- og økonomitjenester.;generic;regnskaps- økonomitjenester;bookkeeping core;;
993215279;AKTUELT REGNSKAP AS;8;www.aktueltregnskap.no;Drive regnskapskontor inkludert de tjenester som naturlig utføres på et regnskapskontor inklusiv rådgiving. Samt investere i aksjer og andre selskaper.;specific;inkludert inklusiv investere selskaper utføres;bookkeeping core, advisory;;
833422812;ALEMA REGNSKAP AS;5;;Regnskapsføring.;boilerplate;;bookkeeping core;;
914813433;ALFA NOR REGNSKAP AS;13;www.alfanor.no;Føre regnskap for andre samt økonomisk, finansiell og regnskapsmessig tjenesteyting og annet som naturlig faller sammen med dette, herunder å delta i andre selskaper med lignende virksomhet.;specific;faller finansiell føre regnskapsmessig;bookkeeping core;;
927616238;ALFASET ACCOUNTING AS;5;www.alfasetaccounting.no;Regnskapsførsel, økonomisk rådgivning og tilsvarende tjenester, samt naturlig tilhørende virksomhet.;generic;tilhørende;bookkeeping core, advisory;;
986376496;ALL-REGNSKAPSERVICE AS;7;www.all-regnskap.no;Regnskapstjenester.;boilerplate;;bookkeeping core;;
997201213;ALLE TALL AS;7;www.alletall.no;Salg av tjenester og produkter innen regnskap, økonomi og rådgivning samt alt som naturlig hører sammen med dette. Kursvirksomhet og veiledning mot offentlige og private virksomheter. Delta i andre selskap med lignende virksomhet, og kjøp og salg av aksjer eller på annen måte gjøre seg interessert i andre foretak.;specific;delta foretak gjøre interessert kursvirksomhet måte seg veiledning;bookkeeping core, advisory;;
926877119;ALLSIDIG REGNSKAP AS;5;;Regnskapsføring for andre.;boilerplate;;bookkeeping core;;
986270027;ALPHA ØKONOMI AS;26;alpha-as.no;Regnskapsføring og fordringsoppfølging, herav inkassovirksomhet.;specific;fordringsoppfølging herav inkassovirksomhet;bookkeeping core;;
960595459;ALTIPLUSS AS;6;;Salg av tjenester og hva som står i forbindelse.;boilerplate;;;;
993085405;ALVA REGNSKAP AS;7;;Regnskapstjenester med dertil hørende virksomhet.;generic;dertil hørende;bookkeeping core;;
916569742;AMANDA REGNSKAP AS;8;;Regnskapsføring og økonomisk rådgivning.;boilerplate;;bookkeeping core, advisory;;
957170005;AMESTO ACCOUNTHOUSE AS;157;www.amestoaccounthouse.no;Klientregnskaper og konsulenttjenester overfor andre bedrifter/personer innen administrasjon og økonomisk styring.;specific;administrasjon klientregnskaper overfor personer styring;advisory;;
934965310;AMESTO ACCOUNTHOUSE BERGEN AS;22;;Regnskapsføring.;boilerplate;;bookkeeping core;;
912976904;AMESTO ACCOUNTHOUSE SØR AS;60;www.amestoaccounthouse.no/regnskapsforer/sor;Regnskaps- og økonomiområdet, samt alt hva som dermed står i forbindelse.;generic;regnskaps- økonomiområdet;bookkeeping core;;
934599977;AMIRA REGNSKAP AS;7;;Regnskapsføring.;boilerplate;;bookkeeping core;;
924046066;ANCE AS;8;;Utføre rekneskapstenester, økonomisk rådgjeving og konsulenttenester, samt det som naturleg høyrer inn under dette.;specific;høyrer inn konsulenttenester naturleg rekneskapstenester rådgjeving utføre;advisory;;
944920803;ANDRE REGNSKAP AS;7;;Regnskapsførsel for andre, konsulentvirksomhet innen øknonomi og regnskap, samt virksomhet knyttet til dette.;generic;knyttet øknonomi;bookkeeping core, advisory;;
930810282;ANDRESEN SYNERGI AS;5;aeiendomsdrift.no;Regnskapsføring. Eiendomsforvaltning på vegne av andre.;generic;eiendomsforvaltning vegne;bookkeeping core, unrelated trade;;
980428958;ANNE JOHANSEN AS;5;;Regnskap og konsulenttjenester.;boilerplate;;bookkeeping core, advisory;;
925509302;AQURATIO AS;5;;Regnskap, årsoppgjør og selskapsadministrasjon.;generic;selskapsadministrasjon årsoppgjør;bookkeeping core;;
995691728;ARCTIC REAL ESTATE MANAGEMENT AS;23;;Forretningsførervirksomhet, herunder regnskapstjenester, samt eiendomsforvaltning- og utvikling.;generic;eiendomsforvaltning- forretningsførervirksomhet;bookkeeping core, unrelated trade;;
829262142;ARDAN AS;5;;Regnskapsføring, rådgivning og annen konsulentvirksomhet som naturlig hører her under, samt deltakelse i annen virksomhet ved aksjeinnskudd eller på annen måte.;specific;aksjeinnskudd deltakelse her måte;bookkeeping core, advisory;;
988936987;ARILD BRÅTEN REGNSKAP AS;5;;Regnskapskontor, samt andre økonomiske tjenester som naturlig hører inn under dette.;generic;inn;bookkeeping core;;
979365861;ARKEN ØKONOMITJENESTER AS;7;www.arken.no;Salg av økonomitjenester, rådgivning relatert til de økonomiske tjenestene, samt IT-rådgivning som står i forbindelse med dette, herunder salg av hardware og software og alt annet som står i forbindelse med dette samt deltakelse i andre selskap.;specific;deltakelse hardware it-rådgivning software tjenestene økonomitjenester;advisory, IT/data services;;
937837771;ARVO REGNSKAP AS;6;;Regnskapsføring.;boilerplate;;bookkeeping core;;
920677827;AS LAND REGNSKAPSSENTRAL;12;;Drift av regnskapskontor.;boilerplate;;bookkeeping core;;
956623103;AS SOLREGN;16;www.solregn.no;Utføre konsulenttjenester, regnskapsførsel samt å investere i mulige prosjekter.;specific;investere mulige utføre;bookkeeping core, advisory;;
937195281;AS STETTE DATA;5;www.stettedata.no;Regnskapsførsel, konsulentvirksomhet og hva dermed står i forbindelse.;boilerplate;;bookkeeping core, advisory;;
823844492;ASK ADMINISTRASJON AS;6;;Rekneskapsføring, administrative tenester og rådgjeving/ konsulentverksemd.;specific;administrative konsulentverksemd rekneskapsføring rådgjeving tenester;advisory;;
926474707;ASKIMCONSULT AS;5;;Regnskapsføring.;boilerplate;;bookkeeping core;;
931931008;ASKUS NORD AS;6;;Regnskapsføring.;boilerplate;;bookkeeping core;;
989775758;ASKVOLL REKNESKAPSTENESTE AS;6;;Drift av regnskapsbyrå, økonomisk rådgivning og andre tjenester som er relatert til dette, samt investeringer i andre selskap.;boilerplate;;bookkeeping core, advisory;;
923792457;ASPIA NORGE AS;223;www.aspia.no;Regnskapsførervirksomhet.;generic;regnskapsførervirksomhet;bookkeeping core;;
977498651;AST REGNSKAP AS;29;;Salg av administrative tjenester - regnskapsbyrå.;generic;administrative;bookkeeping core;;
959151474;ASTRUP FEARNLEY SOLUTIONS AS;18;;Føre regnskap for andre foretak samt tilby tjenester innenfor compliance, risikokartlegging, personvern, HR, finansrådgivning, kontortjenester og tilknyttede virksomhetsområder.;specific;compliance finansrådgivning foretak føre kontortjenester personvern risikokartlegging tilby tilknyttede virksomhetsområder;bookkeeping core;;
919357347;AT-H AS;5;;Administrative tjenester og regnskapsbyrå.;generic;administrative;bookkeeping core;;
897863022;ATHENE TAX AS;7;;Bedriftsrådgivning, regnskapsføring, MVA representasjon, arbeidstakeradministrasjon, eie aksjer og investeringer i virksomheter av enhver art.;specific;arbeidstakeradministrasjon art bedriftsrådgivning eie enhver mva representasjon;bookkeeping core, advisory;;
936912052;AURA ØKONOMI AS;5;;Regnskapsføring.;boilerplate;;bookkeeping core;;
935080797;AURUM REGNSKAP AS;5;;Regnskapsføring.;boilerplate;;bookkeeping core;;
996679721;AVAL AS;12;www.aval.no;Å føre regnskap for andre.;generic;føre;bookkeeping core;;
980383571;AVERDI KARASJOK AS;7;www.averdi.no;Regnskap og konsulentvirksomhet.;boilerplate;;bookkeeping core, advisory;;
917774447;AZETS AS;19;;Investere i andre selskaper.;generic;investere selskaper;;;
983338917;AZETS INSIGHT AS;907;;Utvikling og salg av regnskapstjenester, programvare, salg av konsulenttjenester, handel og agenturer samt å delta i andre selskaper i tilknytning til foranstående og hva dermed står i forbindelse.;specific;agenturer delta foranstående programvare selskaper;bookkeeping core, advisory, IT/data services, unrelated trade;;
991608923;B-S REGNSKAP AS;20;;Regnskapsførsel, samt det som naturlig faller sammen med dette, herunder å delta i andre selskaper med lignende virksomhet.;generic;faller;bookkeeping core;;
986493298;BAKKAN REGNSKAP AS;7;;Salg av regnskap og økonomitjenester samt annet som naturlig hører til. Deltakelse i andre selskaper.;specific;deltakelse selskaper økonomitjenester;bookkeeping core;;
913504372;BALANCO ACCOUNTING AS;12;www.avanseregnskap.no;Regnskap og bokføring.;boilerplate;;bookkeeping core;;
912444880;BALTZEBERG REGNSKAP AS;5;;Salg av regnskaps- og konsulenttjenester innen økonomi og regnskap samt deltagelse i andre selskap som naturlig hører inn under dette. Selskapets virksomhet er investering i aksjer.;specific;deltagelse inn regnskaps-;bookkeeping core, advisory;;
991181954;BAUTA REGNSKAP AS;12;www.bautaregnskap.no;Å yte regnskapstjenester og annen økonomisk rådgivning.;generic;yte;bookkeeping core, advisory;;
935650119;BC ACCOUNTING AS;6;;Regnskapsføring.;boilerplate;;bookkeeping core;;
911648733;BEDRE ØKONOMITJENESTER AS;11;;Å føre regnskap for andre, samt tilby andre tjenester innenfor økonomistyring og administrasjon. Herunder også deltakelse i andre selskaper med lignende virksomhet.;specific;administrasjon deltakelse føre selskaper tilby økonomistyring;bookkeeping core;;
839650302;BERG ØKONOMI AS;40;;Regnskapsbyråvirksomhet og andre produkter/tjenester som naturlig hører sammen med dette, herunder å delta i andre selskap med lignende virksomhet, og kjøp og salg av aksjer eller på annen måte gjøre seg interessert i andre foretak.;specific;delta foretak gjøre interessert måte regnskapsbyråvirksomhet seg;bookkeeping core;;
920790593;BERGSTADENS REGNSKAPSKONTOR AS;13;;Regnskapsvirksomhet, konsulentvirksomhet, kursvirksomhet og annen virksomhet som har naturlig sammenheng med dette.;specific;enheng har kursvirksomhet regnskapsvirksomhet;bookkeeping core, advisory;;
998164923;BHR FINANS & REGNSKAP AS;10;www.baltichus.no;Regnskapstjenester og rådgivning.;boilerplate;;bookkeeping core, advisory;;
988686905;BIRKENES REGNSKAPSKONTOR AS;13;;Regnskapsføring og rådgivning samt alt som herved står i forbindelse.;boilerplate;;bookkeeping core, advisory;;
971068450;BJERKREIM REKNESKAPSKONTOR AS;11;;Drift av regnskapskontor, og alt som dermed står i forbindelse.;boilerplate;;bookkeeping core;;
976089790;BJØRKAN REGNSKAP AS;15;;Regnskapskontor, føring av regnskap og veiledning i økonomi og skattemessige forhold for næringsdrivende og andre.;generic;forhold veiledning;bookkeeping core, audit/tax;;
919434694;BJØRKE REGNSKAP AS;5;www.okohuset.no;Regnskapsføring, konsulenttjenester, rådgiving og administrasjon.;generic;administrasjon;bookkeeping core, advisory;;
916552858;BK REGNSKAPSSERVICE AS;6;;Regnskapstjenester, konsulentvirksomhet innenfor regnskap.;boilerplate;;bookkeeping core, advisory;;
952731092;BL DATA REGNSKAP AS;5;;Eie og drive regnskapskontor, samt hva heri står i forbindelse. Selskapet kan også delta i annen næringsvirksomhet.;specific;delta eie heri næringsvirksomhet;bookkeeping core;;
959095086;BLAKER REGNSKAPSKONTOR AS;9;;Drive regnskapskontor og alle typer tjenester som hører inn under dette.;generic;inn;bookkeeping core;;
921171986;BLUE SKY ECONOMY AS;5;;Regnskapsføring for eksterne bedrifter. Bedriftsrådgivning og økonomisk rådgivning for bedrifter og privatpersoner. Utarbeidelse av selvangivelser og årsregnskap. Generell konsulentvirksomhet for bedrifter og privatpersoner.;specific;bedriftsrådgivning eksterne privatpersoner selvangivelser utarbeidelse årsregnskap;bookkeeping core, advisory;;
932082837;BOK AS;9;;Regnskapsføring.;boilerplate;;bookkeeping core;;
977506441;BOKHOLDERIET AS;6;;Salg av tjenester innenfor regnskapsførsel og rådgivning.;boilerplate;;bookkeeping core, advisory;;
985811466;BRAGE REGNSKAP AS;5;;Autorisert regnskapsfører, bedriftsrådgivning.;specific;autorisert bedriftsrådgivning regnskapsfører;bookkeeping core, advisory;;
921966490;BRAINIACS AS;18;brainiacs.no;Regnskapsføring, bedriftsrådgivning og konsulentvirksomhet.;generic;bedriftsrådgivning;bookkeeping core, advisory;;
914841755;BRI UTVIKLING AS;5;;Regnskapsføring og økonomisk rådgivning for selskapene i konsernet BR Industrier AS, samt konsernstøttefunksjoner knyttet til markedsføring og HR.;specific;industrier knyttet konsernet konsernstøttefunksjoner selskapene;bookkeeping core, advisory;;
997655737;BRINGSVÆR REKNESKAPSTENESTER AS;6;;Rekneskapsføring med alt som høyrer med dette.;generic;høyrer rekneskapsføring;;;
979881401;BRUMUNDDAL REGNSKAP AS;10;;Regnskapskontor.;boilerplate;;bookkeeping core;;
925178276;BRUNLANES REGNSKAP AS;6;;Føring av regnskap og økonomisk rådgivning og andre tjenester som naturlig hører sammen med dette, på vegne av kunder.;generic;vegne;bookkeeping core, advisory;;
982276683;BRYGGA REGNSKAP AS;5;;Føre regnskap og yte bistand til eksterne klienter samt hva hermed står i forbindelse, herunder å delta i andre selskaper med lignende eller annen virksomhet.;specific;eksterne føre klienter yte;bookkeeping core;;
987660376;BRÆNDS ØKONOMI AS;20;;Regnskapskontor m.m.;boilerplate;;bookkeeping core;;
879738342;BRAATHEN & PARTNERS AS;12;www.braathenpartners.no;Rådgivning og bistand innen IT, økonomi og regnskap. Regnskapstjenester. Administrative tjenester. Kjøp og salg av aksjer og fond.;generic;administrative fond;bookkeeping core, advisory, IT/data services;;
988439894;BTS TØMRERSERVICE AS;10;;Tømrerarbeid og andre tilknyttede tjenester innen bygg og anlegg, herunder eiendomsutvikling. I tillegg også økonomisk og regnskapsfaglig rådgivning.;specific;anlegg bygg eiendomsutvikling tilknyttede tillegg tømrerarbeid;bookkeeping core, advisory, unrelated trade;;
920037615;BØ ØKONOMI OG REGNSKAP AS;17;;Regnskapsføring og økonomisk rådgivning.;boilerplate;;bookkeeping core, advisory;;
