orgnr;navn;ansatte;hjemmeside;beskrivelse;auto_kategori;auto_ord;auto_typer;manual_informativ (ja/nei);manual_forretningstype
930459615;1850 NUMMEROPPLYSNINGEN AS;19;;Selge tjenester og varer innen WEB PORTALER og annet som naturlig sammenfaller med dette, samt deltakelse i andre selskaper, investeringer og nærliggende virksomhet.;specific;deltakelse enfaller nærliggende portaler selskaper varer web;real estate/investment;;
934936124;2IZII AS;8;;Programvareutvikling.;boilerplate;;;;
919844523;7ANALYTICS AS;18;;Utvikle produkter og tjenester innen IKT, infrastruktur, fiskeri og råvarer.;specific;fiskeri infrastruktur råvarer;;;
913077369;7SENSE TECHNOLOGIES AS;8;;Konsulenttjenester innenfor elektronikk og programvare. Egenutvikling av produkter innenfor elektronikk og programvare.;generic;egenutvikling elektronikk;consulting/staffing, hardware/electronics;;
982057892;99X INCREO AS;30;www.increo.no;Utvikling av internettløysningar for bedrifter og offentleg. Også rådsgivning, konsulenttjenester, salg, markedsføring og prosjektstyring samt anna virksomhet til dette, herunder ved innskudd, av kapital, ved aksjetegning og deltakelse i andre virksomheter.;specific;aksjetegning anna deltakelse innskudd internettløysningar offentleg prosjektstyring rådsgivning;consulting/staffing;;
979955138;ABARIS CONSULTING AS;10;;Programmering/tilpasning av EDB-programmer.;specific;edb-progra ering progra tilpasning;;;
919608811;ABEL TECHNOLOGIES AS;32;;Utvikle digitale løsninger innenfor helse og treningsindustrien. Hovedsakelig innebærer dette å utvikle programvare for mobile enheter i form av applikasjoner og nettsider. Programvarene har som formål å hjelpe og veilede brukerne med trening og kosthold for å endre eller vedlikeholde sin kropp, og er rettet mot å forbedre brukernes helse. Dataingeniører, programutviklere, personlige trenere, ernæringsfysiologer, kokker, idrettsbiologer, psykologer, leger, og markedsførere er med i utviklingen av programvaren.;specific;applikasjoner brukerne brukernes dataingeniører digitale endre enheter ernæringsfysiologer forbedre form har helse hjelpe idrettsbiologer innebærer kokker kosthold kropp leger markedsførere mobile nettsider personlige programutviklere programvaren programvarene psykologer rettet sin trenere trening treningsindustrien utviklingen vedlikeholde veilede;product/SaaS;;
991326804;ABLEMAGIC AS;8;;Utvikling og salg av elektroniske spill for pc, mobiltelefoner mv.;specific;elektroniske mobiltelefoner spill;games/media;;
928957195;ABSTRACTIONS AS;9;;IT-utvikling og IT-rådgivning. Selskapet kan delta i andre foretak som fremmer eller støtter selskapets øvrige formål.;specific;delta foretak fre it-rådgivning it-utvikling støtter øvrige;consulting/staffing;;
971050756;ACCELLA SOLUTIONS AS;13;www.accella.no;Programmeringstjenester/IT. System for automasjon og administrasjon av terminaler og tankanlegg. Engineering, idriftsettelse og service/vedlikehold.;specific;administrasjon automasjon engineering eringstjenester idriftsettelse progra tankanlegg terminaler;;;
