orgnr;navn;ansatte;har_regnskap;valuta;regnskapsregler;smaaForetak;avviklingsregnskap;kalenderaar;periode_slutt;sumDriftsinntekter;driftsresultat;sumEiendeler;aar_tilgjengelig;sammenlignbar
996202402;EFFEKT ELEKTROENTREPRENØR AS;21;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;25843264;-728180;13486850;15;True
932106817;ROLV SNARE AS;15;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;33935211;964031;8643323;15;True
981393082;KAMPEN INSTALLASJON AS;15;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;30874870;1951617;8703989;15;True
923238425;MB ELEKTRO AS;8;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;8826834;2556242;6682917;7;True
977051452;ELEKTRO TEAM AS;26;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;49988972;-7664170;28409235;15;True
993342491;TH ELEKTRO AS;10;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;13518109;577253;12116750;15;True
998551331;KM ELEKTRO AS;5;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;9229740;495685;3776653;14;True
929038657;SELECT ELEKTRO AS;6;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;10138659;145791;3213663;4;True
997985451;RAULAND ELEKTRISKE AS;22;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;24476441;142065;19313713;14;True
926781537;SKG-CONSULT AS;21;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2024-12-31;56158111;8594113;26289843;4;True
926930311;ELTERA GRUPPEN NORGE AS;13;True;NOK;regnskapslovenAlminneligRegler;False;False;True;2025-12-31;30854111;-39190293;1781680138;5;True
920408133;NARVIK EL AS;21;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;29726116;3988200;11446784;8;True
