orgnr;navn;ansatte;har_regnskap;valuta;regnskapsregler;smaaForetak;avviklingsregnskap;kalenderaar;periode_slutt;sumDriftsinntekter;driftsresultat;sumEiendeler;aar_tilgjengelig;sammenlignbar
984794452;PROVENTUS AS;24;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;30588014;-1795968;11342837;15;True
941612474;WEBSTEP AS;360;True;NOK;regnskapslovenAlminneligRegler;False;False;True;2025-12-31;835197130;77436326;449066971;15;True
826455152;ENVISION-IT AS;6;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;6365170;1140352;893923;5;True
930376981;COMPERA AS;6;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;242936;-4101806;6960862;3;True
983453767;ISPAS AS;8;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;23221515;8150718;11840889;15;True
921244746;RETAILHUB AS;6;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;17507830;-73738;9381678;8;True
921337817;REKNES AS;17;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;23645269;1070199;16892001;8;True
914255805;PERSON-AIZ AS;5;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;155665;-10744004;6043103;12;True
985535558;VESPA.AI NORWAY AS;34;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;142383837;-4487649;187427112;15;True
920774911;AURORA SYSTEMS AS;7;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;7352951;549109;4293736;8;True
927302942;CONSID AS;41;True;NOK;regnskapslovenAlminneligRegler;True;True;True;2025-12-31;79639350;3900067;24048024;5;False
987493453;CCOM AS;17;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;23105016;-10359123;42991967;15;True
936254594;CELESTE SYSTEMS AS;6;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;;-687203;4190550;1;True
999039529;HYPER GAMES AS;13;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;18065206;1738615;7134896;14;True
980712567;ITEM CONSULTING AS;25;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;42563420;-2685447;17042640;15;True
883759702;FDVHUSET AS;21;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;40122302;6997080;31228537;15;True
933203336;PROSPER AI AS;5;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;2113954;318605;8369079;2;True
927654334;PODIMO NORWAY AS;17;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;19365174;806973;9859727;5;True
913077369;7SENSE TECHNOLOGIES AS;8;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;11062404;700587;5085546;12;True
920340350;HITACHI RAIL NORWAY AS;49;True;NOK;forenkletAnvendelseIFRS;False;False;False;2025-03-31;91692000;3319000;765250000;7;False
928781593;MUYBRIDGE AS;32;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;7918504;-46499966;26538853;4;True
995215748;EPINOVA AS;93;True;NOK;regnskapslovenAlminneligRegler;False;False;True;2025-12-31;239606649;30141460;90624273;15;True
919664886;GLOBUS AI AS;5;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;10673456;-1550096;33814028;9;True
988669695;AGENS AS;49;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;87909074;9867444;74024478;15;True
926312537;PROPR AS;12;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;39239647;9850204;14493089;6;True
921437609;LUDENSO AS;13;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;7862502;151524;8870241;8;True
923780890;PROTENCON AS;22;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;12586169;-5865502;24329235;7;True
933432165;SCHIBSTED MEDIA PRODUCTS & TECHNOLOGY AS;140;True;NOK;regnskapslovenAlminneligRegler;False;False;True;2025-12-31;1052412000;-100908000;637317000;2;True
924293438;AGRILOGG AS;6;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;8470791;747288;1898019;7;True
922607923;SKYTECH CONTROL AS;17;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;21130835;-19892483;55567586;7;True
927002183;RUNWELL AS;5;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;3531971;-779544;19360402;5;True
997780973;MYKID AS;8;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;28460026;12440840;23387306;14;True
912787281;PREMAS AS;12;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;21244218;3532751;16290871;12;True
981693302;DEADLINE2ONLINE AS;7;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;56038054;12665643;79881032;15;True
932758261;REVIVER AS;6;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;1091330;-2388506;19033542;3;True
998850371;APLIA AS;22;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;19281580;657672;4936686;14;True
991831436;SOLVER NORWAY AS;12;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;29951769;4246371;23255185;15;True
921192622;NORSE FEEDBACK AS;11;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;18042504;-827105;7922591;8;True
934836286;INVERA CONSTRUCTION AS;28;True;NOK;forenkletAnvendelseIFRS;False;False;True;2025-12-31;117052798;51685053;135108033;1;False
920855970;MARITIME OPTIMA AS;31;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;9489275;-22973157;52038367;8;True
931103849;HAVGUARD AS;8;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;12387816;3671972;6101785;3;True
982396999;CONEXUS AS;17;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;63347292;5429812;70354491;15;True
984066910;LINK MOBILITY GROUP AS;58;True;NOK;regnskapslovenAlminneligRegler;False;False;True;2025-12-31;398171239;-119632624;7012223409;15;True
926707388;LLOYD'S REGISTER VOYAGE AS;16;True;NOK;regnskapslovenAlminneligRegler;True;False;False;2025-06-30;131455605;32041031;114595914;4;False
920998704;ETAIN AS;10;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;6177106;-8950909;4402227;8;True
