orgnr;navn;ansatte;hjemmeside;beskrivelse;auto_kategori;auto_ord;auto_typer;manual_informativ (ja/nei);manual_forretningstype
925106461;24 T ELEKTRO AS;10;;Elektrisk installasjonsarbeid. Generelle bygg- og oppussingstjenester. Rehabilitering av bygninger ute og innvendig. Annen spesialisert bygge- og anleggsvirksomhet og andre produkter/tjenester som naturlig hørersammen med dette, herunder å delta i andre selskap med lignende virksomhet, og kjøp og salg av aksjer eller på annen måte gjøre seg interessert i andre foretak. Hobby verksted.;specific;anleggsvirksomhet bygg- bygge- bygninger delta foretak generelle gjøre hobby hørersa innvendig interessert måte oppussingstjenester rehabilitering seg spesialisert ute verksted;installation;;
985233632;2TAL ELEKTRO AS;14;;Drive produksjon av elektrotavler, installasjonsverksemd og vareomsetning.;specific;elektrotavler installasjonsverksemd vareomsetning;installation;;
931637649;3ELEKTRO AS;6;;Elektrikertjenester.;generic;elektrikertjenester;;;
936488358;9COELEKTRO AS;5;;Elektrikertjenester.;generic;elektrikertjenester;;;
835943542;A SKARE AS;24;;Drift av elektroinstallasjonsbedrift. Salg av elektromateriell og annen tilhørende virksomhet. Deltakelse i andre selskaper med økonomisk formål.;specific;deltakelse elektroinstallasjonsbedrift elektromateriell selskaper tilhørende økonomisk;installation;;
994006533;A-Å ELEKTRO AS;5;;Elektrisk installasjon og annet i den forbindelse.;boilerplate;;installation;;
946995517;A/S Even Cudrio;14;;El.installasjon, handel,import og hva dermed står i forbindelse, herunder også deltagelse i andre selskaper.;generic;deltagelse selskaper;installation, trade/retail;;
962367593;AB ELEKTRISK AS;7;;Elektriske installasjoner i boliger, forretnings- og industribygg, omsetning av elektriske artikler og hva dermed står i forbindelse, samt eventuelt erverv av fast eiendom til driften.;specific;artikler boliger driften erverv eventuelt fast forretnings- industribygg omsetning;installation, automation/industrial;;
950572701;ABA ELEKTRO AS;5;www.aba.no;Elektrikkerinstallasjon, samt handel og alt innen elektriske artikler og hva som står i forbindelse med dette samt deltagelse i annen virksomhet.;specific;artikler deltagelse elektrikkerinstallasjon;trade/retail;;
892313792;ABC EL-MONTASJE AS;17;;Montasje og salg av elektrisk materiell og andre produkter;generic;materiell montasje;trade/retail;;
936403379;ABC ELEKTRO AS;26;;Elektrikertjenester.;generic;elektrikertjenester;;;
984259360;ABC ELEKTRO TEAM AS;13;;Kjøp, salg av varer og tjenester innen sterkstrøm, svakstrøm og data samt det som naturlig faller inn under dette. Kjøp og salg av aksjer. Kjøp, salg og utleie av fast eiendom.;specific;data faller fast inn sterkstrøm svakstrøm varer;security/telecom;;
976052560;ABICON ELEKTRO AS;88;;Elektrisk installasjonsvirksomhet, samt handel og produksjon av elektriske artikler.;generic;artikler installasjonsvirksomhet;installation, trade/retail;;
937794878;ABILDSØ ELEKTRISKE AS;21;www.abildsoelektriske.no;Drive elektrisk installasjon, prosjektering av elektrisk anlegg, salg av ingeniørtjenester, konsulentvirksomhet og hermed beslektet virksomhet.;specific;beslektet ingeniørtjenester prosjektering;installation;;
935246989;ABMAS ELEKTRO AS;58;;Salg av tjenester og varer innenfor - men ikke begrenset til - elektro. Selskapet vil løpende vurdere å delta i annen virksomhet, kjøp/salg av aksjer samt øvrige materielle rettigheter/objekter.;specific;begrenset delta ikke løpende materielle men objekter rettigheter varer vurdere øvrige;;;
979494432;ABO INSTALLASJON AS;10;;Elektriske installasjoner.;boilerplate;;installation;;
915331262;ABOT AS;21;www.abot.no;Installasjonsvirksomhet. Elektrisk installasjon.;generic;installasjonsvirksomhet;installation;;
998583470;ABP ELEKTRO AS;23;;Elektroinnstallasjon.;generic;elektroinnstallasjon;;;
984086822;ABUS ENTREPRENØR AS;8;;Elektroteknisk installasjon samt salg av varer og tjeneste innenfor virksomhetsområdet.;specific;elektroteknisk varer virksomhetsområdet;installation;;
932764261;AC ELEKTRO AS;7;;Elektrikertjenester.;generic;elektrikertjenester;;;
921208812;ACOM ELEKTRO AS;19;www.acomelektro.no;Drive tjenesteytende virksomhet av teknisk art, hovedsakelig innen elektro-installasjon, og annet som naturlig faller sammen med dette, herunder å delta i andre selskaper med lignende virksomhet, eller på annen måte gjøre seg interessert i andre foretagender.;specific;art elektro-installasjon faller foretagender gjøre interessert måte seg teknisk tjenesteytende;installation;;
939778241;ACR elektro AS;15;;Elektrisk installasjonsvirksomhet og hva dermed står i forbindelse, herunder å delta i andre selskaper med lignende virksomhet.;generic;installasjonsvirksomhet;installation;;
924490837;ACS ELEKTROAUTOMASJON AS;20;;Import og handel med elektromekaniske varer og salg av tilhørende tjenester.;specific;elektromekaniske tilhørende varer;trade/retail;;
913552113;ACTIVE ELEKTRO AS;24;www.active-elektro.no;Elektro, ny installasjon, service og vedlikehold.;boilerplate;;installation;;
995981661;ADR ELEKTRO AS;10;;Lavspenning bygningsinstallasjoner. Salg, montasje, service av elektroprodukter og tjenester, konsulenttjenester, deltakelse i andre virksomheter og alt hva hermed står i forbindelse.;specific;bygningsinstallasjoner deltakelse elektroprodukter lavspenning montasje;;;
923447067;AELEKTRIKER AS;13;;Elektrisk installasjonsarbeid;boilerplate;;installation;;
994662473;AEROCOM NORGE AS;15;;Salg, service og montering av elektromateriell, samt deltagelse i andre virksomheter.;specific;deltagelse elektromateriell montering;;;
827958522;AFFIX OSLO AS;8;;Import, salg, montering og design av elmateriel, lys og konsulentvirksomhet innenfor design og prosjektering, samt all virksomhet som står i den forbindelse.;specific;design elmateriel lys montering prosjektering;;;
916830033;AGDER CONNECT AS;7;;Drive med installasjon og prosjektering av tekniske systemer, som eksempelvis Fiber, alarm, kameraovervåking, adgangskontroll og andre produkter/tjenester som naturlig hører sammen med dette.;specific;adgangskontroll alarm eksempelvis fiber kameraovervåking prosjektering systemer tekniske;installation, security/telecom;;
993360953;AGDER EL INSTALLASJON ARENDAL AS;12;;Elektroinstallasjon samt hva dermed står i forbindelse.;boilerplate;;installation;;
985170266;AGDER EL INSTALLASJON AS;68;;Elektroinstallasjon og salg av tilhørende produkter.;generic;tilhørende;installation;;
980382028;AIDA ELEKTRO AS;8;;Drive installasjon av elektriske sterk- og svakstrømsanlegg, samt kjøp og salg av utstyr i forbindelse med dette, og å delta i annen beslektet virksomhet.;specific;beslektet delta sterk- svakstrømsanlegg utstyr;installation, security/telecom;;
998680700;AJ ELEKTRO AS;5;www.ajelektro.no;Å utføre /prosjektere elektriske installasjoner, salg av elektromateriell og andre produkter som naturlig faller sammen med dette, samt investering i fast eiendom og å delta i andre selskaper og virksomheter.;specific;delta elektromateriell faller fast prosjektere selskaper utføre;installation;;
922021791;AK1 ELEKTRO AS;18;;Elektriske installasjonsarbeider.;generic;installasjonsarbeider;installation;;
995785994;AKASO ELEKTRO AS;27;;Elektroentreprenør.;boilerplate;;;;
992183640;AKERSHUS - ØSTFOLD ELEKTRO AS;6;;Elektro-Installasjon;generic;elektro-installasjon;installation;;
976527569;AKERSHUS ELEKTRO AS;31;;Kjøp og salg av elektrotjenester, samt elektromateriell.;generic;elektromateriell elektrotjenester;;;
