orgnr;navn;ansatte;har_regnskap;valuta;regnskapsregler;smaaForetak;avviklingsregnskap;kalenderaar;periode_slutt;sumDriftsinntekter;driftsresultat;sumEiendeler;aar_tilgjengelig;sammenlignbar
935018366;BØLGEN ØKONOMIPARTNER AS;6;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;12816246;3888114;5628547;1;True
916605617;REGNSKAP LOFOTEN AS;6;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;8207417;1611557;4668589;10;True
933565831;KOMPLETT REGNSKAP AS;8;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;11928429;2679221;5103866;15;True
934406699;MODUM REGNSKAPSKONTOR AS;12;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;12445968;31811;3652714;2;True
980015033;ECIT HARESTUA AS;7;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;8543051;971069;2923381;15;True
942896204;SKEDSMO REGNSKAP AS;13;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;20687215;-531372;7610785;15;True
998711282;KRAGERØ OG GRENLAND ØKONOMISERVICE AS;11;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;13298043;757505;3554767;14;True
950308508;VS REGNSKAP AS;5;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;4559439;147697;1574182;15;True
997746848;REGNSKAPSKONTORET STOKKE AS;9;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;14984754;3478566;6063867;15;True
935704804;REAL REGNSKAP AS;6;True;NOK;regnskapslovenAlminneligRegler;True;False;False;2025-12-31;475857;-2358;1065901;1;False
997003543;REKNESKAP FJORDANE AS;19;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;26537569;4645385;13125644;15;True
919749822;ESCALON SERVICES NORWAY AS;5;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;12920230;1776128;7794269;9;True
834095742;ØKONOMIKONTROLL BW AS;12;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;14540243;1653643;9593485;15;True
931924672;Norsk Regnskap og Inkasso AS;10;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;7446795;-372324;3957170;15;True
920993281;PETIM REGNSKAP 1 AS;5;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;3753216;213966;1854683;8;True
997696565;ACCOUNT REGNSKAP AS;7;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;5789199;34708;2749579;14;True
